cityMunicipality,code
Alcala,0201502000
Allacapan,0201503000
Amulung,0201504000
Aparri,0201505000
Baggao,0201506000
Ballesteros,0201507000
Buguey,0201508000
Calayan,0201509000
Camalaniugan,0201510000
Claveria,0201511000
Enrile,0201512000
Gattaran,0201513000
Gonzaga,0201514000
Iguig,0201515000
Lal-Lo,0201516000
Lasam,0201517000
Pamplona,0201518000
Peñablanca,0201519000
Piat,0201520000
Rizal,0201521000
Sanchez-Mira,0201522000
Santa Ana,0201523000
Santa Praxedes,0201524000
Santa Teresita,0201525000
Santo Niño,0201526000
Solana,0201527000
Tuao,0201528000
Tuguegarao City,0201529000
Alicia,0203101000
Angadanan,0203102000
Aurora,0203103000
Benito Soliven,0203104000
Burgos,0203105000
Cabagan,0203106000
Cabatuan,0203107000
City of Cauayan,0203108000
Cordon,0203109000
Dinapigue,0203110000
Divilacan,0203111000
Echague,0203112000
Gamu,0203113000
City of Ilagan,0203114000
Jones,0203115000
Luna,0203116000
Maconacon,0203117000
Delfin Albano,0203118000
Mallig,0203119000
Naguilian,0203120000
Palanan,0203121000
Quezon,0203122000
Quirino,0203123000
Ramon,0203124000
Reina Mercedes,0203125000
Roxas,0203126000
San Agustin,0203127000
San Guillermo,0203128000
San Isidro,0203129000
San Manuel,0203130000
San Mariano,0203131000
San Mateo,0203132000
San Pablo,0203133000
Santa Maria,0203134000
City of Santiago,0203135000
Santo Tomas,0203136000
Tumauini,0203137000
Ambaguio,0205001000
Aritao,0205002000
Bagabag,0205003000
Bambang,0205004000
Bayombong,0205005000
Diadi,0205006000
Dupax del Norte,0205007000
Dupax del Sur,0205008000
Kasibu,0205009000
Kayapa,0205010000
Quezon,0205011000
Santa Fe,0205012000
Solano,0205013000
Villaverde,0205014000
Alfonso Castaneda,0205015000
Aglipay,0205701000
Cabarroguis,0205702000
Diffun,0205703000
Maddela,0205704000
Saguday,0205705000
Nagtipunan,0205706000
Abucay,0300801000
Bagac,0300802000
City of Balanga,0300803000
Dinalupihan,0300804000
Hermosa,0300805000
Limay,0300806000
Mariveles,0300807000
Morong,0300808000
Orani,0300809000
Orion,0300810000
Pilar,0300811000
Samal,0300812000
Angat,0301401000
Balagtas,0301402000
City of Baliwag,0301403000
Bocaue,0301404000
Bulacan,0301405000
Bustos,0301406000
Calumpit,0301407000
Guiguinto,0301408000
Hagonoy,0301409000
City of Malolos,0301410000
Marilao,0301411000
City of Meycauayan,0301412000
Norzagaray,0301413000
Obando,0301414000
Pandi,0301415000
Paombong,0301416000
Plaridel,0301417000
Pulilan,0301418000
San Ildefonso,0301419000
City of San Jose Del Monte,0301420000
San Miguel,0301421000
San Rafael,0301422000
Santa Maria,0301423000
Doña Remedios Trinidad,0301424000
Aliaga,0304901000
Bongabon,0304902000
City of Cabanatuan,0304903000
Cabiao,0304904000
Carranglan,0304905000
Cuyapo,0304906000
Gabaldon,0304907000
City of Gapan,0304908000
General Mamerto Natividad,0304909000
General Tinio,0304910000
Guimba,0304911000
Jaen,0304912000
Laur,0304913000
Licab,0304914000
Llanera,0304915000
Lupao,0304916000
Science City of Muñoz,0304917000
Nampicuan,0304918000
City of Palayan,0304919000
Pantabangan,0304920000
Peñaranda,0304921000
Quezon,0304922000
Rizal,0304923000
San Antonio,0304924000
San Isidro,0304925000
San Jose City,0304926000
San Leonardo,0304927000
Santa Rosa,0304928000
Santo Domingo,0304929000
Talavera,0304930000
Talugtug,0304931000
Zaragoza,0304932000
Apalit,0305402000
Arayat,0305403000
Bacolor,0305404000
Candaba,0305405000
Floridablanca,0305406000
Guagua,0305407000
Lubao,0305408000
Mabalacat City,0305409000
Macabebe,0305410000
Magalang,0305411000
Masantol,0305412000
Mexico,0305413000
Minalin,0305414000
Porac,0305415000
City of San Fernando,0305416000
San Luis,0305417000
San Simon,0305418000
Santa Ana,0305419000
Santa Rita,0305420000
Sto. Tomas,0305421000
Sasmuan,0305422000
Anao,0306901000
Bamban,0306902000
Camiling,0306903000
Capas,0306904000
Concepcion,0306905000
Gerona,0306906000
La Paz,0306907000
Mayantoc,0306908000
Moncada,0306909000
Paniqui,0306910000
Pura,0306911000
Ramos,0306912000
San Clemente,0306913000
San Manuel,0306914000
Santa Ignacia,0306915000
City of Tarlac,0306916000
Victoria,0306917000
San Jose,0306918000
Botolan,0307101000
Cabangan,0307102000
Candelaria,0307103000
Castillejos,0307104000
Iba,0307105000
Masinloc,0307106000
Palauig,0307108000
San Antonio,0307109000
San Felipe,0307110000
San Marcelino,0307111000
San Narciso,0307112000
Santa Cruz,0307113000
Subic,0307114000
Baler,0307701000
Casiguran,0307702000
Dilasag,0307703000
Dinalungan,0307704000
Dingalan,0307705000
Dipaculao,0307706000
Maria Aurora,0307707000
San Luis,0307708000
City of Angeles,0330100000
City of Olongapo,0331400000
Agoncillo,0401001000
Alitagtag,0401002000
Balayan,0401003000
Balete,0401004000
Batangas City,0401005000
Bauan,0401006000
City of Calaca,0401007000
Calatagan,0401008000
Cuenca,0401009000
Ibaan,0401010000
Laurel,0401011000
Lemery,0401012000
Lian,0401013000
City of Lipa,0401014000
Lobo,0401015000
Mabini,0401016000
Malvar,0401017000
Mataasnakahoy,0401018000
Nasugbu,0401019000
Padre Garcia,0401020000
Rosario,0401021000
San Jose,0401022000
San Juan,0401023000
San Luis,0401024000
San Nicolas,0401025000
San Pascual,0401026000
Santa Teresita,0401027000
City of Sto. Tomas,0401028000
Taal,0401029000
Talisay,0401030000
City of Tanauan,0401031000
Taysan,0401032000
Tingloy,0401033000
Tuy,0401034000
Alfonso,0402101000
Amadeo,0402102000
City of Bacoor,0402103000
City of Carmona,0402104000
City of Cavite,0402105000
City of Dasmariñas,0402106000
General Emilio Aguinaldo,0402107000
City of General Trias,0402108000
City of Imus,0402109000
Indang,0402110000
Kawit,0402111000
Magallanes,0402112000
Maragondon,0402113000
Mendez,0402114000
Naic,0402115000
Noveleta,0402116000
Rosario,0402117000
Silang,0402118000
City of Tagaytay,0402119000
Tanza,0402120000
Ternate,0402121000
City of Trece Martires,0402122000
Gen. Mariano Alvarez,0402123000
Alaminos,0403401000
Bay,0403402000
City of Biñan,0403403000
City of Cabuyao,0403404000
City of Calamba,0403405000
Calauan,0403406000
Cavinti,0403407000
Famy,0403408000
Kalayaan,0403409000
Liliw,0403410000
Los Baños,0403411000
Luisiana,0403412000
Lumban,0403413000
Mabitac,0403414000
Magdalena,0403415000
Majayjay,0403416000
Nagcarlan,0403417000
Paete,0403418000
Pagsanjan,0403419000
Pakil,0403420000
Pangil,0403421000
Pila,0403422000
Rizal,0403423000
City of San Pablo,0403424000
City of San Pedro,0403425000
Santa Cruz,0403426000
Santa Maria,0403427000
City of Santa Rosa,0403428000
Siniloan,0403429000
Victoria,0403430000
Agdangan,0405601000
Alabat,0405602000
Atimonan,0405603000
Buenavista,0405605000
Burdeos,0405606000
Calauag,0405607000
Candelaria,0405608000
Catanauan,0405610000
Dolores,0405615000
General Luna,0405616000
General Nakar,0405617000
Guinayangan,0405618000
Gumaca,0405619000
Infanta,0405620000
Jomalig,0405621000
Lopez,0405622000
Lucban,0405623000
Macalelon,0405625000
Mauban,0405627000
Mulanay,0405628000
Padre Burgos,0405629000
Pagbilao,0405630000
Panukulan,0405631000
Patnanungan,0405632000
Perez,0405633000
Pitogo,0405634000
Plaridel,0405635000
Polillo,0405636000
Quezon,0405637000
Real,0405638000
Sampaloc,0405639000
San Andres,0405640000
San Antonio,0405641000
San Francisco,0405642000
San Narciso,0405644000
Sariaya,0405645000
Tagkawayan,0405646000
City of Tayabas,0405647000
Tiaong,0405648000
Unisan,0405649000
Angono,0405801000
City of Antipolo,0405802000
Baras,0405803000
Binangonan,0405804000
Cainta,0405805000
Cardona,0405806000
Jala-Jala,0405807000
Rodriguez,0405808000
Morong,0405809000
Pililla,0405810000
San Mateo,0405811000
Tanay,0405812000
Taytay,0405813000
Teresa,0405814000
City of Lucena,0431200000
Bacacay,0500501000
Camalig,0500502000
Daraga,0500503000
Guinobatan,0500504000
Jovellar,0500505000
City of Legazpi,0500506000
Libon,0500507000
City of Ligao,0500508000
Malilipot,0500509000
Malinao,0500510000
Manito,0500511000
Oas,0500512000
Pio Duran,0500513000
Polangui,0500514000
Rapu-Rapu,0500515000
Santo Domingo,0500516000
City of Tabaco,0500517000
Tiwi,0500518000
Basud,0501601000
Capalonga,0501602000
Daet,0501603000
San Lorenzo Ruiz,0501604000
Jose Panganiban,0501605000
Labo,0501606000
Mercedes,0501607000
Paracale,0501608000
San Vicente,0501609000
Santa Elena,0501610000
Talisay,0501611000
Vinzons,0501612000
Baao,0501701000
Balatan,0501702000
Bato,0501703000
Bombon,0501704000
Buhi,0501705000
Bula,0501706000
Cabusao,0501707000
Calabanga,0501708000
Camaligan,0501709000
Canaman,0501710000
Caramoan,0501711000
Del Gallego,0501712000
Gainza,0501713000
Garchitorena,0501714000
Goa,0501715000
City of Iriga,0501716000
Lagonoy,0501717000
Libmanan,0501718000
Lupi,0501719000
Magarao,0501720000
Milaor,0501721000
Minalabac,0501722000
Nabua,0501723000
City of Naga,0501724000
Ocampo,0501725000
Pamplona,0501726000
Pasacao,0501727000
Pili,0501728000
Presentacion,0501729000
Ragay,0501730000
Sagñay,0501731000
San Fernando,0501732000
San Jose,0501733000
Sipocot,0501734000
Siruma,0501735000
Tigaon,0501736000
Tinambac,0501737000
Bagamanoc,0502001000
Baras,0502002000
Bato,0502003000
Caramoran,0502004000
Gigmoto,0502005000
Pandan,0502006000
Panganiban,0502007000
San Andres,0502008000
San Miguel,0502009000
Viga,0502010000
Virac,0502011000
Aroroy,0504101000
Baleno,0504102000
Balud,0504103000
Batuan,0504104000
Cataingan,0504105000
Cawayan,0504106000
Claveria,0504107000
Dimasalang,0504108000
Esperanza,0504109000
Mandaon,0504110000
City of Masbate,0504111000
Milagros,0504112000
Mobo,0504113000
Monreal,0504114000
Palanas,0504115000
Pio V. Corpus,0504116000
Placer,0504117000
San Fernando,0504118000
San Jacinto,0504119000
San Pascual,0504120000
Uson,0504121000
Barcelona,0506202000
Bulan,0506203000
Bulusan,0506204000
Casiguran,0506205000
Castilla,0506206000
Donsol,0506207000
Gubat,0506208000
Irosin,0506209000
Juban,0506210000
Magallanes,0506211000
Matnog,0506212000
Pilar,0506213000
Prieto Diaz,0506214000
Santa Magdalena,0506215000
City of Sorsogon,0506216000
Altavas,0600401000
Balete,0600402000
Banga,0600403000
Batan,0600404000
Buruanga,0600405000
Ibajay,0600406000
Kalibo,0600407000
Lezo,0600408000
Libacao,0600409000
Madalag,0600410000
Makato,0600411000
Malay,0600412000
Malinao,0600413000
Nabas,0600414000
New Washington,0600415000
Numancia,0600416000
Tangalan,0600417000
Anini-Y,0600601000
Barbaza,0600602000
Belison,0600603000
Bugasong,0600604000
Caluya,0600605000
Culasi,0600606000
Tobias Fornier,0600607000
Hamtic,0600608000
Laua-An,0600609000
Libertad,0600610000
Pandan,0600611000
Patnongon,0600612000
San Jose,0600613000
San Remigio,0600614000
Sebaste,0600615000
Sibalom,0600616000
Tibiao,0600617000
Valderrama,0600618000
Cuartero,0601901000
Dao,0601902000
Dumalag,0601903000
Dumarao,0601904000
Ivisan,0601905000
Jamindan,0601906000
Ma-Ayon,0601907000
Mambusao,0601908000
Panay,0601909000
Panitan,0601910000
Pilar,0601911000
Pontevedra,0601912000
President Roxas,0601913000
City of Roxas,0601914000
Sapi-An,0601915000
Sigma,0601916000
Tapaz,0601917000
Ajuy,0603001000
Alimodian,0603002000
Anilao,0603003000
Badiangan,0603004000
Balasan,0603005000
Banate,0603006000
Barotac Nuevo,0603007000
Barotac Viejo,0603008000
Batad,0603009000
Bingawan,0603010000
Cabatuan,0603012000
Calinog,0603013000
Carles,0603014000
Concepcion,0603015000
Dingle,0603016000
Dueñas,0603017000
Dumangas,0603018000
Estancia,0603019000
Guimbal,0603020000
Igbaras,0603021000
Janiuay,0603023000
Lambunao,0603025000
Leganes,0603026000
Lemery,0603027000
Leon,0603028000
Maasin,0603029000
Miagao,0603030000
Mina,0603031000
New Lucena,0603032000
Oton,0603034000
City of Passi,0603035000
Pavia,0603036000
Pototan,0603037000
San Dionisio,0603038000
San Enrique,0603039000
San Joaquin,0603040000
San Miguel,0603041000
San Rafael,0603042000
Santa Barbara,0603043000
Sara,0603044000
Tigbauan,0603045000
Tubungan,0603046000
Zarraga,0603047000
Buenavista,0607901000
Jordan,0607902000
Nueva Valencia,0607903000
San Lorenzo,0607904000
Sibunag,0607905000
City of Iloilo,0631000000
Alburquerque,0701201000
Alicia,0701202000
Anda,0701203000
Antequera,0701204000
Baclayon,0701205000
Balilihan,0701206000
Batuan,0701207000
Bilar,0701208000
Buenavista,0701209000
Calape,0701210000
Candijay,0701211000
Carmen,0701212000
Catigbian,0701213000
Clarin,0701214000
Corella,0701215000
Cortes,0701216000
Dagohoy,0701217000
Danao,0701218000
Dauis,0701219000
Dimiao,0701220000
Duero,0701221000
Garcia Hernandez,0701222000
Guindulman,0701223000
Inabanga,0701224000
Jagna,0701225000
Getafe,0701226000
Lila,0701227000
Loay,0701228000
Loboc,0701229000
Loon,0701230000
Mabini,0701231000
Maribojoc,0701232000
Panglao,0701233000
Pilar,0701234000
President Carlos P. Garcia,0701235000
Sagbayan,0701236000
San Isidro,0701237000
San Miguel,0701238000
Sevilla,0701239000
Sierra Bullones,0701240000
Sikatuna,0701241000
City of Tagbilaran,0701242000
Talibon,0701243000
Trinidad,0701244000
Tubigon,0701245000
Ubay,0701246000
Valencia,0701247000
Bien Unido,0701248000
Alcantara,0702201000
Alcoy,0702202000
Alegria,0702203000
Aloguinsan,0702204000
Argao,0702205000
Asturias,0702206000
Badian,0702207000
Balamban,0702208000
Bantayan,0702209000
Barili,0702210000
City of Bogo,0702211000
Boljoon,0702212000
Borbon,0702213000
City of Carcar,0702214000
Carmen,0702215000
Catmon,0702216000
Compostela,0702218000
Consolacion,0702219000
Cordova,0702220000
Daanbantayan,0702221000
Dalaguete,0702222000
Danao City,0702223000
Dumanjug,0702224000
Ginatilan,0702225000
Liloan,0702227000
Madridejos,0702228000
Malabuyoc,0702229000
Medellin,0702231000
Minglanilla,0702232000
Moalboal,0702233000
City of Naga,0702234000
Oslob,0702235000
Pilar,0702236000
Pinamungajan,0702237000
Poro,0702238000
Ronda,0702239000
Samboan,0702240000
San Fernando,0702241000
San Francisco,0702242000
San Remigio,0702243000
Santa Fe,0702244000
Santander,0702245000
Sibonga,0702246000
Sogod,0702247000
Tabogon,0702248000
Tabuelan,0702249000
City of Talisay,0702250000
City of Toledo,0702251000
Tuburan,0702252000
Tudela,0702253000
City of Cebu,0730600000
City of Lapu-Lapu,0731100000
City of Mandaue,0731300000
Arteche,0802601000
Balangiga,0802602000
Balangkayan,0802603000
City of Borongan,0802604000
Can-Avid,0802605000
Dolores,0802606000
General Macarthur,0802607000
Giporlos,0802608000
Guiuan,0802609000
Hernani,0802610000
Jipapad,0802611000
Lawaan,0802612000
Llorente,0802613000
Maslog,0802614000
Maydolong,0802615000
Mercedes,0802616000
Oras,0802617000
Quinapondan,0802618000
Salcedo,0802619000
San Julian,0802620000
San Policarpo,0802621000
Sulat,0802622000
Taft,0802623000
Abuyog,0803701000
Alangalang,0803702000
Albuera,0803703000
Babatngon,0803705000
Barugo,0803706000
Bato,0803707000
City of Baybay,0803708000
Burauen,0803710000
Calubian,0803713000
Capoocan,0803714000
Carigara,0803715000
Dagami,0803717000
Dulag,0803718000
Hilongos,0803719000
Hindang,0803720000
Inopacan,0803721000
Isabel,0803722000
Jaro,0803723000
Javier,0803724000
Julita,0803725000
Kananga,0803726000
La Paz,0803728000
Leyte,0803729000
Macarthur,0803730000
Mahaplag,0803731000
Matag-Ob,0803733000
Matalom,0803734000
Mayorga,0803735000
Merida,0803736000
Ormoc City,0803738000
Palo,0803739000
Palompon,0803740000
Pastrana,0803741000
San Isidro,0803742000
San Miguel,0803743000
Santa Fe,0803744000
Tabango,0803745000
Tabontabon,0803746000
Tanauan,0803748000
Tolosa,0803749000
Tunga,0803750000
Villaba,0803751000
Allen,0804801000
Biri,0804802000
Bobon,0804803000
Capul,0804804000
Catarman,0804805000
Catubig,0804806000
Gamay,0804807000
Laoang,0804808000
Lapinig,0804809000
Las Navas,0804810000
Lavezares,0804811000
Mapanas,0804812000
Mondragon,0804813000
Palapag,0804814000
Pambujan,0804815000
Rosario,0804816000
San Antonio,0804817000
San Isidro,0804818000
San Jose,0804819000
San Roque,0804820000
San Vicente,0804821000
Silvino Lobos,0804822000
Victoria,0804823000
Lope De Vega,0804824000
Almagro,0806001000
Basey,0806002000
City of Calbayog,0806003000
Calbiga,0806004000
City of Catbalogan,0806005000
Daram,0806006000
Gandara,0806007000
Hinabangan,0806008000
Jiabong,0806009000
Marabut,0806010000
Matuguinao,0806011000
Motiong,0806012000
Pinabacdao,0806013000
San Jose De Buan,0806014000
San Sebastian,0806015000
Santa Margarita,0806016000
Santa Rita,0806017000
Santo Niño,0806018000
Talalora,0806019000
Tarangnan,0806020000
Villareal,0806021000
Paranas,0806022000
Zumarraga,0806023000
Tagapul-An,0806024000
San Jorge,0806025000
Pagsanghan,0806026000
Anahawan,0806401000
Bontoc,0806402000
Hinunangan,0806403000
Hinundayan,0806404000
Libagon,0806405000
Liloan,0806406000
City of Maasin,0806407000
Macrohon,0806408000
Malitbog,0806409000
Padre Burgos,0806410000
Pintuyan,0806411000
Saint Bernard,0806412000
San Francisco,0806413000
San Juan,0806414000
San Ricardo,0806415000
Silago,0806416000
Sogod,0806417000
Tomas Oppus,0806418000
Limasawa,0806419000
Almeria,0807801000
Biliran,0807802000
Cabucgayan,0807803000
Caibiran,0807804000
Culaba,0807805000
Kawayan,0807806000
Maripipi,0807807000
Naval,0807808000
City of Tacloban,0831600000
City of Dapitan,0907201000
City of Dipolog,0907202000
Katipunan,0907203000
La Libertad,0907204000
Labason,0907205000
Liloy,0907206000
Manukan,0907207000
Mutia,0907208000
Piñan,0907209000
Polanco,0907210000
Pres. Manuel A. Roxas,0907211000
Rizal,0907212000
Salug,0907213000
Sergio Osmeña Sr.,0907214000
Siayan,0907215000
Sibuco,0907216000
Sibutad,0907217000
Sindangan,0907218000
Siocon,0907219000
Sirawai,0907220000
Tampilisan,0907221000
Jose Dalman,0907222000
Gutalac,0907223000
Baliguian,0907224000
Godod,0907225000
Leon T. Postigo,0907226000
Kalawit,0907227000
Aurora,0907302000
Bayog,0907303000
Dimataling,0907305000
Dinas,0907306000
Dumalinao,0907307000
Dumingag,0907308000
Kumalarang,0907311000
Labangan,0907312000
Lapuyan,0907313000
Mahayag,0907315000
Margosatubig,0907317000
Midsalip,0907318000
Molave,0907319000
City of Pagadian,0907322000
Ramon Magsaysay,0907323000
San Miguel,0907324000
San Pablo,0907325000
Tabina,0907327000
Tambulig,0907328000
Tukuran,0907330000
Lakewood,0907333000
Josefina,0907337000
Pitogo,0907338000
Sominot,0907340000
Vincenzo A. Sagun,0907341000
Guipos,0907343000
Tigbao,0907344000
Alicia,0908301000
Buug,0908302000
Diplahan,0908303000
Imelda,0908304000
Ipil,0908305000
Kabasalan,0908306000
Mabuhay,0908307000
Malangas,0908308000
Naga,0908309000
Olutanga,0908310000
Payao,0908311000
Roseller Lim,0908312000
Siay,0908313000
Talusan,0908314000
Titay,0908315000
Tungawan,0908316000
City of Zamboanga,0931700000
City of Isabela,0990101000
Baungon,1001301000
Damulog,1001302000
Dangcagan,1001303000
Don Carlos,1001304000
Impasug-ong,1001305000
Kadingilan,1001306000
Kalilangan,1001307000
Kibawe,1001308000
Kitaotao,1001309000
Lantapan,1001310000
Libona,1001311000
City of Malaybalay,1001312000
Malitbog,1001313000
Manolo Fortich,1001314000
Maramag,1001315000
Pangantucan,1001316000
Quezon,1001317000
San Fernando,1001318000
Sumilao,1001319000
Talakag,1001320000
City of Valencia,1001321000
Cabanglasan,1001322000
Catarman,1001801000
Guinsiliban,1001802000
Mahinog,1001803000
Mambajao,1001804000
Sagay,1001805000
Bacolod,1003501000
Baloi,1003502000
Baroy,1003503000
Kapatagan,1003505000
Sultan Naga Dimaporo,1003506000
Kauswagan,1003507000
Kolambugan,1003508000
Lala,1003509000
Linamon,1003510000
Magsaysay,1003511000
Maigo,1003512000
Matungao,1003513000
Munai,1003514000
Nunungan,1003515000
Pantao Ragat,1003516000
Poona Piagapo,1003517000
Salvador,1003518000
Sapad,1003519000
Tagoloan,1003520000
Tangcal,1003521000
Tubod,1003522000
Pantar,1003523000
Aloran,1004201000
Baliangao,1004202000
Bonifacio,1004203000
Calamba,1004204000
Clarin,1004205000
Concepcion,1004206000
Jimenez,1004207000
Lopez Jaena,1004208000
City of Oroquieta,1004209000
City of Ozamiz,1004210000
Panaon,1004211000
Plaridel,1004212000
Sapang Dalaga,1004213000
Sinacaban,1004214000
City of Tangub,1004215000
Tudela,1004216000
Don Victoriano Chiongbian,1004217000
Alubijid,1004301000
Balingasag,1004302000
Balingoan,1004303000
Binuangan,1004304000
Claveria,1004306000
City of El Salvador,1004307000
City of Gingoog,1004308000
Gitagum,1004309000
Initao,1004310000
Jasaan,1004311000
Kinoguitan,1004312000
Lagonglong,1004313000
Laguindingan,1004314000
Libertad,1004315000
Lugait,1004316000
Magsaysay,1004317000
Manticao,1004318000
Medina,1004319000
Naawan,1004320000
Opol,1004321000
Salay,1004322000
Sugbongcogon,1004323000
Tagoloan,1004324000
Talisayan,1004325000
Villanueva,1004326000
City of Cagayan De Oro,1030500000
City of Iligan,1030900000
Asuncion,1102301000
Carmen,1102303000
Kapalong,1102305000
New Corella,1102314000
City of Panabo,1102315000
Island Garden City of Samal,1102317000
Santo Tomas,1102318000
City of Tagum,1102319000
Talaingod,1102322000
Braulio E. Dujali,1102323000
San Isidro,1102324000
Bansalan,1102401000
City of Digos,1102403000
Hagonoy,1102404000
Kiblawan,1102406000
Magsaysay,1102407000
Malalag,1102408000
Matanao,1102410000
Padada,1102411000
Santa Cruz,1102412000
Sulop,1102414000
Baganga,1102501000
Banaybanay,1102502000
Boston,1102503000
Caraga,1102504000
Cateel,1102505000
Governor Generoso,1102506000
Lupon,1102507000
Manay,1102508000
City of Mati,1102509000
San Isidro,1102510000
Tarragona,1102511000
Compostela,1108201000
Laak,1108202000
Mabini,1108203000
Maco,1108204000
Maragusan,1108205000
Mawab,1108206000
Monkayo,1108207000
Montevista,1108208000
Nabunturan,1108209000
New Bataan,1108210000
Pantukan,1108211000
Don Marcelino,1108601000
Jose Abad Santos,1108602000
Malita,1108603000
Santa Maria,1108604000
Sarangani,1108605000
City of Davao,1130700000
Alamada,1204701000
Carmen,1204702000
Kabacan,1204703000
City of Kidapawan,1204704000
Libungan,1204705000
Magpet,1204706000
Makilala,1204707000
Matalam,1204708000
Midsayap,1204709000
M'Lang,1204710000
Pigkawayan,1204711000
Pikit,1204712000
President Roxas,1204713000
Tulunan,1204714000
Antipas,1204715000
Banisilan,1204716000
Aleosan,1204717000
Arakan,1204718000
Banga,1206302000
City of Koronadal,1206306000
Norala,1206311000
Polomolok,1206312000
Surallah,1206313000
Tampakan,1206314000
Tantangan,1206315000
T'Boli,1206316000
Tupi,1206317000
Santo Niño,1206318000
Lake Sebu,1206319000
Bagumbayan,1206501000
Columbio,1206502000
Esperanza,1206503000
Isulan,1206504000
Kalamansig,1206505000
Lebak,1206506000
Lutayan,1206507000
Lambayong,1206508000
Palimbang,1206509000
President Quirino,1206510000
City of Tacurong,1206511000
Sen. Ninoy Aquino,1206512000
Alabel,1208001000
Glan,1208002000
Kiamba,1208003000
Maasim,1208004000
Maitum,1208005000
Malapatan,1208006000
Malungon,1208007000
City of General Santos,1230800000
City of Caloocan,1380100000
City of Las Piñas,1380200000
City of Makati,1380300000
City of Malabon,1380400000
City of Mandaluyong,1380500000
City of Manila,1380600000
City of Marikina,1380700000
City of Muntinlupa,1380800000
City of Navotas,1380900000
City of Parañaque,1381000000
Pasay City,1381100000
City of Pasig,1381200000
Quezon City,1381300000
City of San Juan,1381400000
City of Taguig,1381500000
City of Valenzuela,1381600000
Pateros,1381701000
Bangued,1400101000
Boliney,1400102000
Bucay,1400103000
Bucloc,1400104000
Daguioman,1400105000
Danglas,1400106000
Dolores,1400107000
La Paz,1400108000
Lacub,1400109000
Lagangilang,1400110000
Lagayan,1400111000
Langiden,1400112000
Licuan-Baay,1400113000
Luba,1400114000
Malibcong,1400115000
Manabo,1400116000
Peñarrubia,1400117000
Pidigan,1400118000
Pilar,1400119000
Sallapadan,1400120000
San Isidro,1400121000
San Juan,1400122000
San Quintin,1400123000
Tayum,1400124000
Tineg,1400125000
Tubo,1400126000
Villaviciosa,1400127000
Atok,1401101000
Bakun,1401103000
Bokod,1401104000
